job_id,phase,role,method_id,mismatch_seed,noise_mode,noise_seed,band,warmup_frames,total_frames,maxstep_ns,frame_index,phase_index,view,retained,ideal_vid_v,commanded_vid_v,code,bits,valid,complete_v,invalid_v,timeout_v,sampled_diff_v,input_diff_v,complete_time_s,stable_margin_s
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,31,31,STEADY_STATE_RETAINED,True,-0.4983960293074411,-0.49840742656491327,91,01011011,True,3.6,0.0,0.0,-0.499458,-0.498397,1.58755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,32,32,STEADY_STATE_RETAINED,True,-1.2827920356296636,-1.282766778974805,32,00100000,True,3.6,0.0,0.0,-1.28466,-1.28276,1.63755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,33,33,STEADY_STATE_RETAINED,True,-1.4848272767569517,-1.4847325306915289,17,00010001,True,3.6,0.0,0.0,-1.48223,-1.48472,1.68755e-05,1.0449999999999536e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,34,34,STEADY_STATE_RETAINED,True,-1.0127819771128357,-1.012792862623789,52,00110100,True,3.6,0.0,0.0,-1.01265,-1.01278,1.73755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,35,35,STEADY_STATE_RETAINED,True,-0.08095483381425642,-0.08088294214441284,123,01111011,True,3.6,0.0,0.0,-0.0789418,-0.0808729,1.78755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,36,36,STEADY_STATE_RETAINED,True,0.8876241115355172,0.8877021707223995,196,11000100,True,3.6,0.0,0.0,0.887272,0.887712,1.83755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,37,37,STEADY_STATE_RETAINED,True,1.453240267561782,1.4531717216443676,238,11101110,True,3.6,0.0,0.0,1.45382,1.45318,1.88755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,38,38,STEADY_STATE_RETAINED,True,1.3591157246103238,1.359065143218401,231,11100111,True,3.6,0.0,0.0,1.36001,1.35907,1.93755e-05,1.0449999999999536e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,39,39,STEADY_STATE_RETAINED,True,0.6479810573451193,0.6480356186381864,178,10110010,True,3.6,0.0,0.0,0.648775,0.648045,1.98755e-05,1.0449999999999875e-07
SMOKE_FF_3P6_M40C_S044_ON_LOW_W4,P1_SMOKE,PVT3_BINDING_SMOKE,FAST64_V2_FIRST_CONVERSION_SEPARATED,44,ON,100044,LOW,4,68,0.05,40,40,STEADY_STATE_RETAINED,True,-0.3573234627926919,-0.35726657694388925,102,01100110,True,3.6,0.0,0.0,-0.358684,-0.357257,2.03755e-05,1.0449999999999536e-07
